iter	Logloss
0	0.6715552835
1	0.6537079623
2	0.6391284096
3	0.627167044
4	0.6165270131
5	0.6078933703
6	0.5997372039
7	0.5928086161
8	0.5867073969
9	0.5822450616
10	0.5785183258
11	0.574021682
12	0.5709966768
13	0.5679469537
14	0.5648950455
15	0.5625332239
16	0.5601294548
17	0.5580201612
18	0.5554353671
19	0.5535764313
20	0.5521046483
21	0.5504342652
22	0.5488822908
23	0.5470007435
24	0.5447858503
25	0.5431674055
26	0.5419577753
27	0.5409449982
28	0.5396315781
29	0.5387954565
30	0.5371681615
31	0.5347852313
32	0.5333034239
33	0.5324105636
34	0.5309148883
35	0.5296169866
36	0.5282037938
37	0.5277300656
38	0.526803949
39	0.5256960756
40	0.5248393903
41	0.5235820442
42	0.5223465201
43	0.5215981204
44	0.5208530547
45	0.5200230718
46	0.5192963174
47	0.5184165509
48	0.5171512854
49	0.5164892109
50	0.5157045361
51	0.5150521009
52	0.5138745622
53	0.5130623263
54	0.512666877
55	0.51118869
56	0.5105584191
57	0.5100269746
58	0.5095475664
59	0.5083289552
60	0.5078909247
61	0.5073290158
62	0.5067242752
63	0.5060902707
64	0.5048875404
65	0.503889123
66	0.5032326722
67	0.5027332142
68	0.5021014923
69	0.5013317474
70	0.50032313
71	0.4998220727
72	0.4991872004
73	0.4985479784
74	0.4981837591
75	0.4973719555
76	0.4968403742
77	0.4965379466
78	0.4958856485
79	0.4950823268
80	0.4944040649
81	0.4940000089
82	0.4933991577
83	0.4926320338
84	0.4916542079
85	0.4908217876
86	0.4904089635
87	0.4895359949
88	0.4892065919
89	0.4885527369
90	0.4881988871
91	0.4871844962
92	0.4867754886
93	0.4859462825
94	0.4850256019
95	0.4843248632
96	0.4835332675
97	0.4832384848
98	0.4825610321
99	0.4812495918
100	0.4809776722
101	0.4801254606
102	0.4795628154
103	0.4790478293
104	0.4786434354
105	0.4781151086
106	0.4775524806
107	0.4771198428
108	0.4763630207
109	0.4756696551
110	0.4750321024
111	0.4744218446
112	0.473924344
113	0.4731976499
114	0.4724099939
115	0.4715406782
116	0.4709613952
117	0.4705714701
118	0.4698613183
119	0.4690818225
120	0.4687576271
121	0.4680511686
122	0.4671193393
123	0.466410458
124	0.4657225496
125	0.464887125
126	0.4641464186
127	0.4636863282
128	0.4629767873
129	0.4617961558
130	0.4612893875
131	0.4607135633
132	0.4599878145
133	0.4594640754
134	0.4588445265
135	0.4584142508
136	0.4574975748
137	0.4567554811
138	0.4560830087
139	0.4555323464
140	0.4548861268
141	0.4544011717
142	0.4536746895
143	0.4528904543
144	0.4522449824
145	0.4517199466
146	0.4509400342
147	0.4501386042
148	0.4494760666
149	0.4486483842
150	0.4481769452
151	0.4473523464
152	0.4464416603
153	0.4456933649
154	0.4452910935
155	0.4446707051
156	0.4441226333
157	0.4436069951
158	0.443035675
159	0.4425476215
160	0.4418908004
161	0.4414001447
162	0.4410293188
163	0.4406655281
164	0.4398294697
165	0.4391973182
166	0.4388421901
167	0.4381711278
168	0.4375865563
169	0.4369145739
170	0.4361115753
171	0.4357513498
172	0.4352264033
173	0.4346380976
174	0.4339978891
175	0.4335581589
176	0.4331934856
177	0.4324364842
178	0.4316469229
179	0.4309961544
180	0.4302339541
181	0.4297964248
182	0.4291747277
183	0.4287066274
184	0.4283832351
185	0.4276820228
186	0.4271130877
187	0.4264935655
188	0.425688292
189	0.4250745395
190	0.4246363485
191	0.4239128702
192	0.423198451
193	0.4228243964
194	0.4220755097
195	0.4216248566
196	0.4208420659
197	0.4202399697
198	0.419731862
199	0.4192147979
